BLC_ID	BLC_NAME	K2_ID	K2_NAME	K3_ID	K3_NAME	K4_ID	K4_NAME	Znesek
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	700	Davki na dohodek in dobiček	7000	Dohodnina	897023342.4
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	700	Davki na dohodek in dobiček	7001	Davek od dohodkov pravnih oseb	488460000
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	700	Davki na dohodek in dobiček	7002	Drugi davki na dohodek in dobiček	6658417.234
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	701	Prispevki za socialno varnost	7010	Prispevki zaposlenih	29113478.77
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	701	Prispevki za socialno varnost	7011	Prispevki delodajalcev	19816131.38
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	701	Prispevki za socialno varnost	7012	Prispevki samozaposlenih	2907794.453
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	701	Prispevki za socialno varnost	7013	Ostali prispevki za socialno varnost	1630393.868
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	702	Davki na plačilno listo in delovno silo	7021	Posebni davek na določene prejemke	27563172.29
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	703	Davki na premoženje	7033	Davki na promet nepremičnin in na finančno premoženje	39763320
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	704	Domači davki na blago in storitve	7040	Davek na dodano vrednost	3062525429
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	704	Domači davki na blago in storitve	7041	Drugi davki na blago in storitve	110194770
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	704	Domači davki na blago in storitve	7042	Trošarine (akcize)	1656513899
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	704	Domači davki na blago in storitve	7044	Davki na posebne storitve	162182368.4
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	704	Domači davki na blago in storitve	7046	Letna dajatev za uporabo vozil v cestnem prometu	131232825.6
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	704	Domači davki na blago in storitve	7047	Drugi davki na uporabo blaga in storitev	72733123.59
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	704	Domači davki na blago in storitve	7048	Davki od prometa motornih vozil	44105361.19
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	705	Davki na mednarodno trgovino in transakcije	7050	Carine	89345834.33
A	Bilanca prihodkov in odhodkov	70	DAVČNI PRIHODKI	706	Drugi davki	7060	Drugi davki	50000000
A	Bilanca prihodkov in odhodkov	71	NEDAVČNI PRIHODKI	710	Udeležba na dobičku in dohodki od premoženja	7100	Prihodki od udeležbe na dobičku in dividend ter presežkov prihodkov nad odhodki	100110960.1
A	Bilanca prihodkov in odhodkov	71	NEDAVČNI PRIHODKI	710	Udeležba na dobičku in dohodki od premoženja	7102	Prihodki od obresti	26500000
A	Bilanca prihodkov in odhodkov	71	NEDAVČNI PRIHODKI	710	Udeležba na dobičku in dohodki od premoženja	7103	Prihodki od premoženja	80615269.02
A	Bilanca prihodkov in odhodkov	71	NEDAVČNI PRIHODKI	711	Takse in pristojbine	7110	Sodne takse	58723568.21
A	Bilanca prihodkov in odhodkov	71	NEDAVČNI PRIHODKI	711	Takse in pristojbine	7111	Upravne takse in pristojbine	36970006.23
A	Bilanca prihodkov in odhodkov	71	NEDAVČNI PRIHODKI	712	Globe in druge denarne kazni	7120	Globe in druge denarne kazni	70955555.9
A	Bilanca prihodkov in odhodkov	71	NEDAVČNI PRIHODKI	713	Prihodki od prodaje blaga in storitev	7130	Prihodki od prodaje blaga in storitev	9750932.562
A	Bilanca prihodkov in odhodkov	71	NEDAVČNI PRIHODKI	714	Drugi nedavčni prihodki	7141	Drugi nedavčni prihodki	116767904.4
A	Bilanca prihodkov in odhodkov	72	KAPITALSKI PRIHODKI	720	Prihodki od prodaje osnovnih sredstev	7200	Prihodki od prodaje zgradb in prostorov	16277482.22
A	Bilanca prihodkov in odhodkov	72	KAPITALSKI PRIHODKI	720	Prihodki od prodaje osnovnih sredstev	7201	Prihodki od prodaje prevoznih sredstev	375955.8755
A	Bilanca prihodkov in odhodkov	72	KAPITALSKI PRIHODKI	720	Prihodki od prodaje osnovnih sredstev	7202	Prihodki od prodaje opreme	302528.0343
A	Bilanca prihodkov in odhodkov	72	KAPITALSKI PRIHODKI	720	Prihodki od prodaje osnovnih sredstev	7203	Prihodki od prodaje drugih osnovnih sredstev	12162.97833
A	Bilanca prihodkov in odhodkov	72	KAPITALSKI PRIHODKI	721	Prihodki od prodaje zalog	7211	Prihodki od prodaje drugih zalog	2307.005302
A	Bilanca prihodkov in odhodkov	72	KAPITALSKI PRIHODKI	722	Prihodki od prodaje zemljišč in neopredmetenih sredstev	7220	Prihodki od prodaje kmetijskih zemljišč in gozdov	340175.263
A	Bilanca prihodkov in odhodkov	72	KAPITALSKI PRIHODKI	722	Prihodki od prodaje zemljišč in neopredmetenih sredstev	7221	Prihodki od prodaje stavbnih zemljišč	281983.5114
A	Bilanca prihodkov in odhodkov	73	PREJETE DONACIJE	730	Prejete donacije iz domačih virov	7300	Prejete donacije in darila od domačih pravnih oseb	56219.89946
